ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,home_team,home_score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_off_rtg,away_def_rtg,away_team,away_score,date,total_game_score,line,away_line,over_under
0.55,0.532,0.494,0.221,18.2,76.2,46.5,58.8,7.6,5.3,17.6,101.1,121.7,mia,93,0.602,0.544,0.519,0.405,23.8,81.8,53.5,60,8.7,20.5,9.7,121.7,101.1,bos,112,20191204,205,-111,100,209
0.472,0.441,0.319,0.16,26.7,87.9,52.6,46.2,5.2,8.5,10.7,99.2,112.7,den,95,0.631,0.616,0.427,0.098,12.1,73.3,47.4,47.7,5.2,7.8,14.9,112.7,99.2,bos,108,20191206,203,-111,100,205.5
0.443,0.434,0.341,0.209,34.6,84.4,53.6,50,8.4,3.9,15.3,92.7,115.8,cle,88,0.675,0.673,0.346,0.103,15.6,65.4,46.4,48.9,8.4,15,18.1,115.8,92.7,bos,110,20191209,198,-109,-102,216
0.624,0.585,0.341,0.28,25,80.4,57.7,65.9,4.3,13.3,10.7,124.5,118,phi,115,0.553,0.522,0.341,0.187,19.6,75,42.3,57.1,4.3,13,5.7,118,124.5,bos,109,20191212,224,-105,-105,212.5
0.498,0.465,0.365,0.224,22.4,65.8,41.4,61.8,12.8,3.4,20.4,91.3,111.9,det,93,0.598,0.576,0.314,0.244,34.2,77.6,58.6,53.3,12.8,16.7,17.4,111.9,91.3,bos,114,20191220,207,-112,102,211
0.505,0.463,0.415,0.28,4.1,71.4,32.1,78.8,3.2,8.9,3.2,100.7,128.9,cho,93,0.626,0.602,0.364,0.182,28.6,95.9,67.9,54.3,2.2,18.8,10.4,128.9,100.7,bos,119,20191222,212,-114,104,208.5
0.598,0.571,0.271,0.341,16.2,72.7,46.9,50,7,5.5,10.1,116.6,128.6,cle,117,0.624,0.589,0.421,0.2,27.3,83.8,53.1,57.1,4,16.1,9.6,128.6,116.6,bos,129,20191227,246,-110,-100,215.5
0.618,0.607,0.405,0.202,38.5,84.4,63.1,61.4,8.2,6.5,19.4,115.9,99.5,tor,113,0.517,0.442,0.41,0.462,15.6,61.5,36.9,58.1,11.3,8,13,99.5,115.9,bos,97,20191228,210,-106,-104,217
0.532,0.505,0.484,0.161,12.5,75,43.8,66.7,5.8,7.4,12.3,101.7,104.6,atl,106,0.515,0.473,0.269,0.312,25,87.5,56.3,56.1,8.6,14.6,10.2,104.6,101.7,bos,109,20200103,215,-106,-104,224.5
0.655,0.603,0.333,0.299,20.5,83.7,55.7,58.3,8.6,11.8,12.5,123,108.7,sas,129,0.558,0.489,0.427,0.337,16.3,79.5,44.3,70.3,6.7,3.4,12.8,108.7,123,bos,114,20200108,243,102,-112,221
0.486,0.47,0.45,0.18,25.9,73.7,44.8,72.5,3.8,8.5,12.9,99.5,132.6,nop,105,0.649,0.62,0.29,0.18,26.3,74.1,55.2,52.7,13.3,5.5,8.5,132.6,99.5,bos,140,20200111,245,-107,-103,223.5
0.546,0.494,0.309,0.321,17.5,75.6,46.9,43.2,5.2,8.3,13.2,105.1,117.5,chi,101,0.59,0.524,0.277,0.349,24.4,82.5,53.1,71.8,7.3,10.7,11.1,117.5,105.1,bos,113,20200113,214,-106,-104,216.5
0.672,0.679,0.41,0.244,8.8,70.5,43.6,63.8,8.6,7.3,11.3,124.5,110.5,det,116,0.561,0.548,0.337,0.241,29.5,91.2,56.4,51.2,7.5,4.3,14,110.5,124.5,bos,103,20200115,219,104,-114,218.5
0.602,0.545,0.348,0.337,22.2,91.3,57.1,64.3,5.6,11.1,12.8,114.1,110.4,pho,123,0.563,0.516,0.438,0.229,8.7,77.8,42.9,61.9,10.2,10.3,9.4,110.4,114.1,bos,119,20200118,242,-105,-105,220.5
0.526,0.478,0.292,0.326,26.1,63.2,42.9,56.4,4.9,13.6,12.8,105.9,137.6,lal,107,0.657,0.645,0.366,0.312,36.8,73.9,57.1,59.6,9.9,7.9,10.2,137.6,105.9,bos,139,20200120,246,-113,102,226.5
0.519,0.488,0.376,0.176,12.5,79.5,47.6,66.7,7.1,14,14.9,96.5,120.9,mem,95,0.608,0.584,0.36,0.225,20.5,87.5,52.4,71.1,11.2,17,8.4,120.9,96.5,bos,119,20200122,214,-102,-108,232.5
0.576,0.506,0.506,0.39,7.5,65.9,37,72.7,10.8,11.3,15.1,102.2,117,gsw,104,0.609,0.563,0.398,0.25,34.1,92.5,63,64.3,11.8,10.5,18.4,117,102.2,bos,119,20200130,223,-105,-105,224.5
0.486,0.411,0.393,0.369,28.3,79.1,52.8,48.4,6.3,6,12.5,99.3,121.2,phi,95,0.592,0.525,0.375,0.513,20.9,71.7,47.2,39.5,9.4,3.9,9.3,121.2,99.3,bos,116,20200201,211,-105,-105,212
0.567,0.513,0.413,0.4,20.5,83.3,48.8,62.5,10.4,9.5,16.2,104.2,120.9,orl,100,0.623,0.61,0.267,0.186,16.7,79.5,51.3,50,10.4,13.6,11.4,120.9,104.2,bos,116,20200205,216,-110,-101,209.5
0.549,0.483,0.453,0.302,25,75.6,49.5,60,7.2,16.3,12.6,110.5,115.6,atl,107,0.572,0.523,0.43,0.314,24.4,75,50.5,62.2,5.2,17,11.7,115.6,110.5,bos,112,20200207,219,-111,101,225
0.527,0.468,0.318,0.336,24.1,85.4,51.9,41.3,3.2,16.7,10.6,107.6,114.1,lac,133,0.585,0.524,0.417,0.388,14.6,75.9,48.1,48.9,7.3,8,10.4,114.1,107.6,bos,141,20200213,274,-104,-106,228
0.524,0.495,0.561,0.184,23.1,74.5,49.5,41.5,9.3,13.8,13.1,103.5,102.6,hou,111,0.495,0.455,0.42,0.25,25.5,76.9,50.5,56.4,10.3,14,11.2,102.6,103.5,bos,110,20200229,221,-105,-105,233
