away_team_x,total,team,money_line,away_money_line,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,away_fg,away_fga,away_fg_pct,away_fg3,away_fg3a,away_fg3_pct,away_ft,away_fta,away_ft_pct,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_usg_pct,away_off_rtg,away_def_rtg,away_score,date
por,226,uta,-116,+105,240,43,94,.457,19,50,.380,15,19,.789,12,47,59,24,3,3,11,16,120,37,92,.402,12,33,.364,14,17,.824,6,34,40,23,6,3,6,18,100,.586,.559,.532,.202,26.1,88.7,59.6,55.8,3.1,5.1,9.7,100.0,122.1,101.8,120,.503,.467,.359,.185,11.3,73.9,40.4,62.2,6.1,6.8,5.7,100.0,101.8,122.1,100,20201223
pho,231,dal,+107,-118,240,36,85,.424,9,37,.243,21,26,.808,6,33,39,17,6,0,11,23,102,38,79,.481,11,30,.367,19,27,.704,6,42,48,21,7,7,18,26,106,.529,.476,.435,.306,12.5,84.6,44.8,47.2,6.0,0.0,10.2,100.0,101.5,105.5,102,.583,.551,.380,.342,15.4,87.5,55.2,55.3,7.0,14.6,16.5,100.0,105.5,101.5,106,20201223
ind,220,cle,+272,-318,240,37,82,.451,12,23,.522,13,24,.542,11,32,43,22,5,6,18,22,99,42,87,.483,16,35,.457,19,24,.792,9,35,44,28,12,1,14,22,119,.535,.524,.280,.293,23.9,78.0,49.4,59.5,5.0,11.5,16.3,100.0,99.9,120.1,99,.610,.575,.402,.276,22.0,76.1,50.6,66.7,12.1,1.7,12.5,100.0,120.1,99.9,119,20201231
was,235½,chi,+236,-272,240,50,92,.543,14,36,.389,19,25,.760,9,35,44,34,9,3,15,27,133,42,84,.500,14,29,.483,32,41,.780,9,28,37,27,8,4,14,27,130,.646,.620,.391,.272,24.3,79.5,54.3,68.0,8.5,5.5,12.7,100.0,125.9,123.1,133,.637,.583,.345,.488,20.5,75.7,45.7,64.3,7.6,7.1,12.1,100.0,123.1,125.9,130,20201231
orl,219½,phi,-172,+154,240,44,91,.484,15,33,.455,13,15,.867,7,47,54,23,7,10,14,23,116,33,95,.347,7,28,.250,19,21,.905,10,38,48,17,2,5,11,15,92,.594,.566,.363,.165,15.6,82.5,52.9,52.3,6.8,14.9,12.5,100.0,112.7,89.3,116,.441,.384,.295,.221,17.5,84.4,47.1,51.5,1.9,8.6,9.5,100.0,89.3,112.7,92,20201231
hou,231½,sac,+185,-209,240,45,96,.469,11,33,.333,18,24,.750,14,31,45,23,11,5,15,21,119,45,86,.523,13,36,.361,19,25,.760,10,35,45,26,10,6,18,14,122,.558,.526,.344,.250,28.6,75.6,50.0,51.1,10.6,10.0,12.3,100.0,114.3,117.1,119,.629,.599,.419,.291,24.4,71.4,50.0,57.8,9.6,9.5,15.7,100.0,117.1,114.3,122,20201231
tor,216,nyk,+299,-354,240,32,88,.364,3,36,.083,16,20,.800,9,39,48,21,6,3,15,21,83,34,83,.410,17,52,.327,15,21,.714,9,44,53,21,7,6,16,22,100,.429,.381,.409,.227,17.0,81.3,47.5,65.6,6.0,9.7,13.4,100.0,83.7,100.8,83,.542,.512,.627,.253,18.8,83.0,52.5,61.8,7.1,11.5,14.8,100.0,100.8,83.7,100,20201231
okc,214½,nop,-207,+183,240,44,91,.484,13,36,.361,12,19,.632,14,44,58,23,9,4,13,16,113,30,80,.375,15,48,.313,5,15,.333,7,33,40,24,6,3,19,20,80,.569,.555,.396,.209,29.8,86.3,59.2,52.3,9.3,12.5,11.6,100.0,116.3,82.4,113,.462,.469,.600,.188,13.7,70.2,40.8,80.0,6.2,5.5,18.0,100.0,82.4,116.3,80,20201231
uta,219½,pho,+148,-165,240,41,84,.488,17,33,.515,7,10,.700,5,36,41,26,5,6,15,17,106,35,84,.417,12,34,.353,13,19,.684,10,36,46,16,8,3,13,15,95,.600,.589,.393,.119,12.2,78.3,47.1,63.4,5.2,12.0,14.5,100.0,111.2,99.7,106,.514,.488,.405,.226,21.7,87.8,52.9,45.7,8.4,5.9,12.3,100.0,99.7,111.2,95,20201231
phi,221½,cho,+292,-344,240,36,86,.419,13,39,.333,16,22,.727,8,39,47,30,4,4,16,24,101,46,95,.484,11,32,.344,15,23,.652,14,41,55,34,7,5,10,21,118,.528,.494,.453,.256,16.3,73.6,46.1,83.3,4.0,6.3,14.3,100.0,99.8,116.6,101,.561,.542,.337,.242,26.4,83.7,53.9,73.9,6.9,10.6,8.7,100.0,116.6,99.8,118,20210104
