ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,teams,score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_usg_pct,away_off_rtg,away_def_rtg,away_teams,away_score,date
.540,.511,.460,.241,12.5,94.4,47.6,78.4,5.8,6.0,11.9,100.0,101.1,111.8,gsw,104,.615,.579,.390,.317,5.6,87.5,52.4,66.7,4.9,6.4,13.0,100.0,111.8,101.1,phi,115,20200128
.502,.435,.226,.333,18.4,75.6,44.4,65.8,12.2,9.2,11.6,100.0,100.2,111.4,mem,107,.616,.611,.278,.167,24.4,81.6,55.6,70.8,7.5,15.3,17.2,100.0,111.4,100.2,phi,119,20200207
.581,.557,.364,.193,32.6,65.1,48.8,53.5,8.2,5.3,15.9,100.0,114.3,121.5,chi,111,.602,.565,.321,.381,34.9,67.4,51.2,69.0,12.4,10.7,14.0,100.0,121.5,114.3,phi,118,20200209
.538,.522,.344,.144,11.4,77.1,45.7,62.5,2.1,8.8,8.6,100.0,105.6,112.8,lac,103,.528,.505,.284,.221,22.9,88.6,54.3,56.8,3.1,11.9,5.4,100.0,112.8,105.6,phi,110,20200211
.455,.402,.333,.275,28.8,75.6,50.5,61.1,2.9,1.6,12.3,100.0,99.4,107.0,brk,104,.552,.465,.256,.407,24.4,71.2,49.5,50.0,9.6,8.8,11.4,100.0,107.0,99.4,phi,112,20200220
.514,.454,.392,.278,26.4,76.9,47.8,47.5,4.9,3.4,10.7,100.0,109.2,125.8,atl,112,.637,.580,.341,.341,23.1,73.6,52.2,60.0,8.8,8.5,9.8,100.0,125.8,109.2,phi,129,20200224
.566,.554,.277,.289,21.4,73.2,47.0,66.7,2.2,5.0,7.9,100.0,117.7,127.6,nyk,106,.594,.577,.341,.143,26.8,78.6,53.0,71.1,5.5,11.7,5.8,100.0,127.6,117.7,phi,115,20200227
.558,.530,.417,.298,14.0,66.7,39.0,64.1,10.6,6.0,7.8,100.0,111.9,130.9,det,106,.639,.590,.398,.386,33.3,86.0,61.0,66.7,7.4,8.2,11.8,100.0,130.9,111.9,phi,124,20200311
.615,.559,.280,.312,32.5,79.5,55.7,45.7,6.8,10.7,11.7,100.0,126.7,128.6,sas,130,.659,.609,.356,.345,20.5,67.5,44.3,56.5,5.8,9.0,11.5,100.0,128.6,126.7,phi,132,20200803
.510,.466,.364,.284,21.7,71.2,48.0,45.9,5.2,3.1,8.3,100.0,104.5,111.7,orl,101,.502,.452,.312,.355,28.8,78.3,52.0,50.0,4.1,7.1,7.7,100.0,111.7,104.5,phi,108,20200807
